atm_id,train_r2,test_r2,train_mae,test_mae,model_path
ATM_AXIS_01,0.477,0.896,0.08,0.011,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_AXIS_01.pkl
ATM_AXIS_02,0.533,0.891,0.087,0.012,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_AXIS_02.pkl
ATM_BOB_01,0.442,0.954,0.08,0.007,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_BOB_01.pkl
ATM_BOB_02,0.439,0.86,0.082,0.008,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_BOB_02.pkl
ATM_BOI_01,0.385,0.866,0.087,0.009,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_BOI_01.pkl
ATM_CANARA_01,0.456,0.917,0.081,0.007,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_CANARA_01.pkl
ATM_CBI_01,0.453,0.832,0.084,0.015,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_CBI_01.pkl
ATM_HDFC_01,0.558,0.927,0.088,0.011,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_HDFC_01.pkl
ATM_HDFC_02,0.446,0.8,0.083,0.01,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_HDFC_02.pkl
ATM_ICICI_01,0.454,0.902,0.084,0.01,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_ICICI_01.pkl
ATM_ICICI_02,0.421,0.946,0.086,0.007,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_ICICI_02.pkl
ATM_ICICI_03,0.497,0.871,0.078,0.01,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_ICICI_03.pkl
ATM_IDBI_01,0.457,0.939,0.083,0.008,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_IDBI_01.pkl
ATM_INDUS_01,0.567,0.886,0.088,0.013,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_INDUS_01.pkl
ATM_MAHABANK_01,0.427,0.972,0.083,0.006,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_MAHABANK_01.pkl
ATM_PNB_01,0.421,0.936,0.084,0.008,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_PNB_01.pkl
ATM_PNB_02,0.496,0.906,0.079,0.009,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_PNB_02.pkl
ATM_SBI_01,0.527,0.932,0.088,0.011,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_SBI_01.pkl
ATM_SBI_02,0.464,0.933,0.081,0.009,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_SBI_02.pkl
ATM_SBI_03,0.493,0.947,0.079,0.01,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_SBI_03.pkl
ATM_SBI_04,0.449,0.289,0.081,0.016,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_SBI_04.pkl
ATM_SPCL_01,0.469,0.93,0.08,0.009,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_SPCL_01.pkl
ATM_SPCL_02,0.479,0.914,0.076,0.009,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_SPCL_02.pkl
ATM_UCO_01,0.422,0.979,0.084,0.005,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_UCO_01.pkl
ATM_YES_01,0.456,0.855,0.078,0.01,c:\Users\nikhi\OneDrive\Desktop\ATM 2\models\model_ATM_YES_01.pkl
